fecha_scrape,fuente,fecha_publicacion,empresa,titulo_puesto,categoria,encaja_perfil,ubicacion,modalidad,salario_min,salario_max,experiencia_requerida,stack_tecnologico,nivel_ingles,url_oferta
2026-06-26,Tecnoempleo,24/06/2026,GMV,Ingeniero/a de Software de IA,IA,Quizas,Madrid,hibrido,,,2 años,"IA, LLM",Medio/B2,https://www.tecnoempleo.com/ingeniero-software-ia-gmv/inteligencia-artificial-llm/rf-ce471b9132657399bb49
2026-06-26,Tecnoempleo,22/06/2026,HAYS,Ingeniero IA,IA,Quizas,Valencia,,,,2 años,"NLP, Python",Medio/B2,https://www.tecnoempleo.com/ingeniero-ia-hays/inteligencia-artificial-nlp/rf-01671c33527b63cca340
2026-06-26,Tecnoempleo,11/03/2026,Deloitte,IT&Data Audit&Assurance,IA,Si,Valencia,,,,Sin experiencia,"Python, Powerapps, Power BI",Medio/B2,https://www.tecnoempleo.com/it-data-audit-assurance-deloitte/python-powerapps/rf-8a3214a36208930ff749
2026-06-26,Tecnoempleo,26/06/2026,CMV Consultores,AI & Data - AI / ML Engineer,IA,Si,Madrid,hibrido,29000.0,29000.0,1-2 años,"Python, PySpark, AWS",Medio/B2,https://www.tecnoempleo.com/ai-data-ai-ml-engineer-cmv-consultores/python-pyspark/rf-b8a910f3026553a4f946
2026-06-26,Tecnoempleo,25/06/2026,Deloitte,Data Engineer especialista en Databricks,IA,Quizas,Zaragoza,hibrido,,,2-5 años,"Databricks, Unity Catalog, Workflows",Medio/B2,https://www.tecnoempleo.com/data-engineer-especialista-en-databricks-deloitte/unity-catalog-workflows/rf-dc791c90729583a4ce43
2026-06-26,Tecnoempleo,24/06/2026,HAYS,IA Developer,IA,Quizas,Madrid,hibrido,,,2-3 años,"Machine Learning, Deep Learning, LLM",Medio/B2,https://www.tecnoempleo.com/ia-developer-hays/machine-learning-deep-learning/rf-7b5713ab629bd349c147
2026-06-26,Tecnoempleo,23/06/2026,Page Personnel,Computer Vision Engineer (IA),IA,Quizas,Barcelona,,,,,"Python, PyTorch, C++",Medio/B2,https://www.tecnoempleo.com/computer-vision-engineer-ia-page-personnel/python-pytorch/rf-69e3149c62d083dd914d
2026-06-26,Tecnoempleo,19/06/2026,Sopra Steria,IT Payroll Junior consultant,IA,Si,Madrid,,,,,"Cobol, HTML, CSS",Medio/B2,https://www.tecnoempleo.com/it-payroll-junior-consultant-sopra-steria/cobol-html/rf-e0131d63f2f223af8449
2026-06-26,Tecnoempleo,19/06/2026,Accenture,Data Scientist - Song,IA,Quizas,Madrid,,,,2-3 años,"Python, LLM, SQL",Alto/C1,https://www.tecnoempleo.com/data-scientist-song-accenture/python-llm/rf-09dc10f23291e3486e4d
2026-06-26,Tecnoempleo,18/06/2026,Julius Baer,Model Validation Quantitative Analyst,IA,Quizas,Madrid,,,,2 años,"Python, R, SQL",Medio/B2,https://www.tecnoempleo.com/model-validation-quantitative-analyst-julius-baer/python-r/rf-8d0e1b3e62825370cf46
