fecha_scrape,fecha_publicacion,empresa,titulo_puesto,categoria,ubicacion,modalidad,salario_min,salario_max,experiencia_requerida,stack_tecnologico,nivel_ingles,url_oferta,description
2026-06-30,2026-04-10,Smadex SLU,Machine Learning Engineer,IA,Barcelona,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5695856840?utm_medium=api&utm_source=4332c1fe,"Smadex is a leading advertising technology company founded in Barcelona in 2010 and sold to American-based and stock-listed Entravision in 2018 (NYSE::EVC). We are one of the top mobile ad-tech companies in the world and the largest Demand Side Platform (DSP) based in Europe, with our revenues over $100M and consistently growing 40% YoY over the past years. We compete in a highly advanced technology-driven industry, real time bidding programmatic advertising, where Machine Learning and cutting-…"
2026-06-30,2025-09-26,Bask Health,Machine Learning Engineer,IA,España,no especificado,25.0,60.0,,no especificado,no especificado,https://www.adzuna.es/details/5415710383?utm_medium=api&utm_source=4332c1fe,"Bask Health is at the forefront of the health-tech industry, providing personalized healthcare experiences through advanced, user-friendly technology. Our platform serves as a launchpad for entrepreneurs, doctors, physicians, and influencers in the DTC telehealth sector. Engineering at Bask Health is AI-first and builder-led. Work starts in an LLM to clarify intent and constraints, moves into tools like Claude and Cursor to explore and build, is tested with real patients and care teams, and the…"
2026-06-30,2026-06-19,Smadex SLU,Machine Learning Intern,IA,Barcelona,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5769640085?utm_medium=api&utm_source=4332c1fe,"Smadex is a leading advertising technology company founded in Barcelona in 2010 and sold to American-based and stock-listed Entravision in 2018 (NYSE::EVC). We are one of the top mobile ad-tech companies in the world and the largest Demand Side Platform (DSP) based in Europe, with our revenues over $100M and consistently growing 40% YoY over the past years. And with an incredible 100% growth last year. We compete in a highly advanced technology-driven industry where Machine Learning and cutting…"
2026-06-30,2026-06-21,Twilio,Machine Learning Engineer,IA,España,remoto,,,,no especificado,no especificado,https://www.adzuna.es/details/5771122804?utm_medium=api&utm_source=4332c1fe,"Who we are At Twilio, we’re shaping the future of communications, all from the comfort of our homes. We deliver innovative solutions to hundreds of thousands of businesses and empower millions of developers worldwide to craft personalized customer experiences. Our dedication to remote-first work , and strong culture of connection and global inclusion means that no matter your location, you’re part of a vibrant team with diverse experiences making a global impact each day. As we continue to revo…"
2026-06-30,2025-11-18,Incode Technologies,Machine Learning Engineer,IA,España,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5502296321?utm_medium=api&utm_source=4332c1fe,"POWER A WORLD OF TRUST Incode is the leading provider of world-class identity solutions that is reinventing the way humans authenticate and verify their identities online to power a world of digital trust. Through our revolutionary identity solutions, we are unleashing the business potential of universal industries including finance, government, retail, hospitality, gaming, and more, by reducing fraud and transforming human interactions with data, products, and services. We’re in the process of…"
2026-06-30,2026-06-18,Electronic Arts,Machine Learning Engineer,IA,"Madrid, Comunidad de Madrid",no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5768359242?utm_medium=api&utm_source=4332c1fe,"Electronic Arts creates next-level entertainment experiences that inspire players and fans around the world. Here, everyone is part of the story. Part of a community that connects across the globe. A place where creativity thrives, new perspectives are invited, and ideas matter. A team where everyone makes play happen. We are hiring a Machine Learning Engineer to join our Localization Data & AI team, reporting to the Localization Data & AI Manager. The Loc Data & AI team's mission is to empower…"
2026-06-30,2026-05-22,Avanade Inc.,Machine Learning Engineer,IA,Madrid,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5737300494?utm_medium=api&utm_source=4332c1fe,"Why Avanade? Because there's literally no place like thisWe have two parent companies that give us a strong Microsoft ecosystem with space to be ourselves. People who thrive here are motivated, interested in learning and genuinely have a desire to be the best at what they do. If that sounds like you, then we're the perfect match. You will have the opportunity to utilize the most advanced technology within the Microsoft ecosystem, collaborating with some of the world's largest and most renowned …"
2026-06-30,2026-06-05,MailerLite,Machine Learning Engineer,IA,España,no especificado,55000.0,80000.0,,no especificado,no especificado,https://www.adzuna.es/details/5752869353?utm_medium=api&utm_source=4332c1fe,"MailerLite is one of the fastest-growing email marketing services. We help more than 1 million businesses around the world stay in touch with their customers. Today, we are a team of more than 170 dreamers, adventurers, and world travelers passionate about what we do and what we believe in. And we are ready for another talented person to join the party. We’re looking for a Machine Learning Engineer to help us build the intelligence layer behind our products - turning the behavioral data of over…"
2026-06-30,2026-05-02,Happyrobot,Machine Learning Engineer,IA,España,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5716290951?utm_medium=api&utm_source=4332c1fe,"About HappyRobot HappyRobot is the infrastructure for enterprises to build and orchestrate AI workforces. Our AI workers don't just communicate - they make decisions, take action, and run operations autonomously across voice, email, and enterprise systems. Born in Y Combinator (S23) and backed by a16z and Base10 with over $60M raised, we power critical operations for global enterprises worldwide. Our platform is battle-tested in the most demanding environments - where AI has real consequences. …"
2026-06-30,2026-06-18,DeepRec.ai,Machine Learning Engineer,IA,"Barcelona, Cataluña",no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5768358096?utm_medium=api&utm_source=4332c1fe,"EU work authorisation required Total bonus package available over the contract: up to €5,000 depending on start date. You join one of Europe’s most recognised deep-tech scale-ups. Backed by major global investors and strong EU support, they have built one of the most credible AI compression products in the market. This compression tool is already live with major enterprise clients. Now they need more engineers to help deploy, monitor and scale it properly. Why apply? You will work alongside hig…"
