fecha_scrape,fecha_publicacion,empresa,titulo_puesto,categoria,ubicacion,modalidad,salario_min,salario_max,experiencia_requerida,stack_tecnologico,nivel_ingles,url_oferta
2026-07-01,2026-04-10,Smadex SLU,Machine Learning Engineer,IA,Barcelona,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5695856840?utm_medium=api&utm_source=4332c1fe
2026-07-01,2025-09-26,Bask Health,Machine Learning Engineer,IA,España,no especificado,25.0,60.0,,no especificado,no especificado,https://www.adzuna.es/details/5415710383?utm_medium=api&utm_source=4332c1fe
2026-07-01,2026-06-19,Smadex SLU,Machine Learning Intern,IA,Barcelona,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5769640085?utm_medium=api&utm_source=4332c1fe
2026-07-01,2026-06-21,Twilio,Machine Learning Engineer,IA,España,remoto,,,,no especificado,no especificado,https://www.adzuna.es/details/5771122804?utm_medium=api&utm_source=4332c1fe
2026-07-01,2025-11-18,Incode Technologies,Machine Learning Engineer,IA,España,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5502296321?utm_medium=api&utm_source=4332c1fe
2026-07-01,2026-06-18,Electronic Arts,Machine Learning Engineer,IA,"Madrid, Comunidad de Madrid",no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5768359242?utm_medium=api&utm_source=4332c1fe
2026-07-01,2026-05-22,Avanade Inc.,Machine Learning Engineer,IA,Madrid,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5737300494?utm_medium=api&utm_source=4332c1fe
2026-07-01,2026-06-05,MailerLite,Machine Learning Engineer,IA,España,no especificado,55000.0,80000.0,,no especificado,no especificado,https://www.adzuna.es/details/5752869353?utm_medium=api&utm_source=4332c1fe
2026-07-01,2026-05-02,Happyrobot,Machine Learning Engineer,IA,España,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5716290951?utm_medium=api&utm_source=4332c1fe
2026-07-01,2026-06-18,DeepRec.ai,Machine Learning Engineer,IA,"Barcelona, Cataluña",no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5768358096?utm_medium=api&utm_source=4332c1fe
