fecha_scrape,fecha_publicacion,empresa,titulo_puesto,categoria,ubicacion,modalidad,salario_min,salario_max,experiencia_requerida,stack_tecnologico,nivel_ingles,url_oferta
2026-09-02,2026-08-13,The French Sourcer,Machine Learning Engineer,IA,Madrid,hibrido,,,,no especificado,no especificado,https://www.adzuna.es/details/5840091483?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-08-16,"Time is Brain, SL",MACHINE LEARNING ENGINEER,IA,"Barcelona, Cataluña",no especificado,70000.0,100000.0,,no especificado,no especificado,https://www.adzuna.es/details/5844049969?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-08-15,Everoad by sennder,Machine Learning Engineer,IA,"Barcelona, Cataluña",no especificado,70000.0,110000.0,,no especificado,nativo,https://www.adzuna.es/details/5842853745?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-08-16,sennder,Machine Learning Engineer,IA,"Barcelona, Cataluña",no especificado,85000.0,115000.0,,no especificado,nativo,https://www.adzuna.es/details/5844049843?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-06-19,Smadex SLU,Machine Learning Intern,IA,Barcelona,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5769640085?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-07-25,Smadex SLU,Machine Learning Engineer,IA,Barcelona,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5814616461?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-08-03,Enfint,machine learning engineer,IA,"Barcelona, Cataluña",no especificado,60000.0,90000.0,,no especificado,no especificado,https://www.adzuna.es/details/5826406148?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-07-07,,Senior Machine Learning,IA,Barcelona,no especificado,50000.0,65000.0,,no especificado,no especificado,https://www.adzuna.es/details/5790977754?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-07-22,Incode Technologies,Machine Learning Engineer,IA,España,no especificado,85000.0,120000.0,,no especificado,no especificado,https://www.adzuna.es/details/5810510440?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-06-21,Twilio,Machine Learning Engineer,IA,España,remoto,,,,no especificado,no especificado,https://www.adzuna.es/details/5771122804?utm_medium=api&utm_source=4332c1fe
2026-09-02,2025-11-18,Incode Technologies,Machine Learning Engineer,IA,España,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5502296321?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-05-02,Happyrobot,Machine Learning Engineer,IA,España,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5716290951?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-07-31,Capitole,Machine Learning Engineer,IA,España,no especificado,60000.0,90000.0,,no especificado,no especificado,https://www.adzuna.es/details/5821723714?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-06-18,DeepRec.ai,Machine Learning Engineer,IA,"Barcelona, Cataluña",no especificado,55000.0,85000.0,,no especificado,no especificado,https://www.adzuna.es/details/5768358096?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-03-10,Visium SA,Senior Machine Learning Engineer,IA,España,no especificado,,,,no especificado,nativo,https://www.adzuna.es/details/5660160155?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-04-02,Visium SA,AI Machine Learning Engineer,IA,España,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5687607690?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-08-29,Newton Colmore,Machine Learning Engineer Modelling,IA,España,hibrido,60000.0,90000.0,,no especificado,no especificado,https://www.adzuna.es/details/5860925220?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-06-23,ARQUIMEA,Quantum Machine Learning Engineer,IA,"San Cristóbal de La Laguna, Santa Cruz de Tenerife",no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5773895128?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-08-31,Prima,Software / Machine Learning Engineer,IA,Madrid,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5862523139?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-08-16,Prima,Software / Machine Learning Engineer,IA,Madrid,no especificado,55000.0,85000.0,,no especificado,no especificado,https://www.adzuna.es/details/5844044094?utm_medium=api&utm_source=4332c1fe
